number	year	quater	current_assets	cash_and_cash_euivalents	short_term_financial_investment	short_term_account_receivables	inventory	other_current_assets	non_current_assets	long_term_account_receivable	fixed_assets	loi_the_thuong_mai	real_estate_investment	long_term_finacial_investments	other_long_term_assets	total_assets	liabilities	short_term_liabilities	long_term_liabilities	owners_equity	loi_ich_co_dong_thieu_so	total_equity	gross_sale_revenues	deduction_revenues	net_sales	cost_of_goods_sold	gross_profit	financial_activities_revenues	financial_expenses	selling_expenses	managing_expenses	net_profit_from_operating_activities	other_incomes	other_expenses	other_profits	total_profit_before_tax	profit_after_corporate_income_tax	ebitda
AAA	2008		143554	3681	0	90093	39978	9802	127778	0	125999	0	0	0	1779	271331	168937	148484	20453	103082	0	271331	249182	848	248333	196355	51978	1110	15580	8194	6492	22822	549	496	53	22875	22875	0
AAA	2009		222826	77822	0	84576	48690	11738	214025	0	210279	0	0	0	3746	436851	314243	186955	127289	121027	1000	436851	385588	1054	384533	300936	83598	3465	21007	15549	12690	37817	1136	574	562	38380	37723	0
AAA	2010	1	241557	22041	0	134730	70042	14743	232333	0	228518	0	0	0	3815	473891	338176	212687	125489	134719	995	473891	122308	299	122009	90790	31219	4203	10678	7453	5914	11376	570	60	509	11886	11886	0
AAA	2010	2	295332	40865	0	147367	91484	15617	245629	0	242122	0	0	0	3508	540961	273902	154264	119639	266061	998	540961	158883	146	158737	119371	39367	670	8168	9817	5489	16562	725	119	606	17168	17168	0
AAA	2010	3	341193	59835	0	192596	72135	16626	259896	0	254425	0	0	0	5471	601088	290100	186352	103748	309988	1000	601088	201592	153	201439	131952	69487	3510	7507	12614	5607	47270	861	18	843	48113	41887	0
AAA	2010	4	285054	20199	0	161993	80939	21924	360239	0	344041	0	0	0	5587	645293	321125	212878	108247	323167	1000	645293	200561	71	200490	153424	47066	2697	7947	12319	5322	24174	98	1216	-1117	23056	19924	0.93
AAA	2010		284630	20196	0	161950	80619	21865	360349	0	344041	0	0	0	5697	644979	321443	213196	108247	322539	997	644979	683334	669	682665	495537	187129	11080	34300	42204	22331	99372	2254	1413	841	100213	90854	0.93
AAA	2011	1	282385	7851	0	185288	64193	25053	372785	0	356436	0	0	0	5295	655171	351414	248665	102749	302752	1005	655171	194873	47	194826	149339	45486	6373	14810	12173	5984	18892	339	69	270	19161	16770	0.93
AAA	2011	2	290142	19514	0	149489	101703	19435	447415	0	364849	0	0	0	4686	737556	424620	327506	97114	311510	1426	0	203847	123	203724	161969	41755	1715	13840	12709	6243	10678	486	115	371	11049	9174	1.21
AAA	2011	3	315854	42731	0	129594	122971	20558	483128	0	405337	0	0	0	4491	798982	467726	340529	127196	329784	1473	798982	223147	298	222849	172677	50173	370	10253	11936	6243	22110	671	220	451	52771	18913	1.55
