<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20150422,12.8,13.0,12.8,13.0,296300
AAM,20150422,12.6,12.6,12.6,12.6,10
ABI,20150422,0.0,0.0,0.0,10.5,0
ABT,20150422,0.0,50.5,50.5,50.5,10
ACB,20150422,16.3,16.6,16.3,16.5,105481
ACC,20150422,32.7,33.0,32.7,33.0,1010
ACE,20150422,0.0,0.0,0.0,19.0,0
ACL,20150422,0.0,0.0,0.0,9.4,0
ADC,20150422,0.0,0.0,0.0,24.0,0
ADP,20150422,26.4,26.4,26.4,26.4,300
AGF,20150422,20.0,20.0,20.0,20.0,2640
AGM,20150422,0.0,0.0,0.0,10.5,0
AGR,20150422,5.8,5.9,5.8,5.9,107580
ALT,20150422,0.0,0.0,0.0,12.6,0
ALV,20150422,6.8,6.9,6.8,6.9,33500
AMC,20150422,0.0,0.0,0.0,26.5,0
AMD,20150422,15.8,16.0,15.7,15.9,91200
AME,20150422,3.9,3.9,3.9,3.9,100
AMV,20150422,3.9,3.9,3.9,3.9,2000
ANV,20150422,9.4,9.6,9.4,9.6,4030
APC,20150422,17.0,17.2,16.9,17.2,54800
APG,20150422,5.8,6.2,5.8,6.1,40200
API,20150422,14.5,14.6,14.3,14.4,167200
APP,20150422,0.0,0.0,0.0,13.0,0
APS,20150422,4.2,4.2,4.1,4.1,73100
ARM,20150422,0.0,0.0,0.0,25.0,0
ASA,20150422,4.7,4.7,4.6,4.7,47700
ASD,20150422,0.0,0.0,0.0,2.3,0
ASM,20150422,8.4,8.4,8.2,8.2,538850
ASP,20150422,5.4,5.5,5.4,5.5,2260
ATA,20150422,2.5,2.5,2.4,2.5,32490
AVF,20150422,1.1,1.3,1.1,1.2,171100
B82,20150422,10.7,11.2,10.6,11.2,24600
BAM,20150422,3.8,3.9,3.8,3.9,182510
BBC,20150422,0.0,0.0,0.0,58.0,0
BBS,20150422,0.0,0.0,0.0,19.0,0
BCC,20150422,19.0,19.7,19.0,19.3,532510
BCE,20150422,9.4,9.5,9.2,9.4,12940
BCI,20150422,21.0,21.9,21.0,21.9,7480
