<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20150417,12.4,13.2,12.3,13.0,1349916
AAA,20150416,12.3,12.7,12.3,12.4,624200
AAA,20150415,12.5,12.6,12.3,12.6,631401
AAA,20150414,12.5,12.6,12.3,12.5,1053000
AAA,20150413,12.7,12.8,12.5,12.5,259800
AAA,20150410,12.9,13.1,12.8,12.8,113800
AAA,20150409,12.7,13.0,12.7,13.0,147400
AAA,20150408,12.6,12.7,12.5,12.7,84100
AAA,20150407,12.4,12.6,12.4,12.5,114910
AAA,20150406,12.4,12.6,12.4,12.4,95700
AAA,20150403,12.5,12.6,12.4,12.4,40000
AAA,20150402,12.3,12.5,12.0,12.5,160200
AAA,20150401,12.6,12.6,12.3,12.3,270700
AAA,20150331,12.4,12.7,12.3,12.6,66800
AAA,20150330,12.7,12.8,12.4,12.4,304850
AAA,20150327,13.0,13.0,12.7,12.8,253500
AAA,20150326,13.1,13.1,12.9,13.0,452300
AAA,20150325,13.1,13.2,12.9,13.0,146300
AAA,20150324,13.0,13.1,13.0,13.1,484800
AAA,20150323,13.1,13.1,12.9,13.0,407139
AAA,20150320,13.0,13.1,13.0,13.1,117756
AAA,20150319,13.0,13.1,12.9,13.1,344500
AAA,20150318,13.1,13.1,12.8,12.9,251700
AAA,20150317,13.0,13.2,13.0,13.1,361601
AAA,20150316,13.2,13.3,13.0,13.0,332200
AAA,20150313,13.4,13.4,13.2,13.2,134600
AAA,20150312,13.4,13.6,13.3,13.3,184200
AAA,20150311,13.4,13.4,13.3,13.3,163310
AAA,20150310,13.4,13.6,13.3,13.4,161201
AAA,20150309,13.5,13.6,13.4,13.4,217800
AAA,20150306,13.7,13.8,13.6,13.6,288800
AAA,20150305,13.6,13.9,13.5,13.7,731400
AAA,20150304,13.6,13.6,13.4,13.5,301600
AAA,20150303,13.4,13.6,13.3,13.5,284300
AAA,20150302,13.6,13.7,13.3,13.3,233504
AAA,20150227,13.1,13.7,13.0,13.6,759296
AAA,20150226,13.0,13.1,13.0,13.0,317400
AAA,20150225,13.1,13.2,13.0,13.1,142100
AAA,20150224,13.1,13.2,13.0,13.1,101300
AAA,20150213,13.0,13.1,12.9,13.0,223216
AAA,20150212,13.0,13.1,13.0,13.0,102200
AAA,20150211,13.0,13.1,12.9,12.9,240300
AAA,20150210,13.0,13.1,12.9,13.0,350010
AAA,20150209,13.0,13.0,12.8,13.0,365200
AAA,20150206,12.9,13.1,12.8,13.0,457500
AAA,20150205,13.0,13.1,12.9,12.9,248000
AAA,20150204,12.4,13.1,12.4,13.0,903809
AAA,20150203,13.0,13.0,12.5,12.9,1530400
AAA,20150202,13.1,13.2,13.0,13.0,258600
AAA,20150130,13.3,13.4,13.0,13.0,426300
AAA,20150129,13.3,13.4,13.1,13.3,299100
AAA,20150128,13.3,13.4,13.1,13.2,310840
AAA,20150127,13.6,13.6,13.2,13.3,849750
AAA,20150126,13.6,13.7,13.5,13.6,357500
AAA,20150123,13.5,13.6,13.4,13.5,503000
AAA,20150122,13.5,13.5,13.3,13.5,291000
AAA,20150121,13.5,13.6,13.4,13.4,209601
AAA,20150120,13.6,13.7,13.4,13.4,524300
AAA,20150119,13.8,13.8,13.5,13.6,170700
AAA,20150116,13.7,13.9,13.5,13.7,510500
AAA,20150115,12.5,13.9,12.5,13.7,692500
AAA,20150114,13.8,13.9,13.5,13.8,260900
AAA,20150113,13.5,13.9,13.5,13.8,454800
AAA,20150112,13.9,13.9,13.5,13.5,1269500
AAA,20150109,14.2,14.3,13.9,13.9,753100
AAA,20150108,14.5,14.5,14.1,14.2,338400
AAA,20150107,14.0,14.9,13.9,14.5,1209900
AAA,20150106,13.7,14.0,13.4,14.0,453200
AAA,20150105,13.9,14.0,13.7,13.8,284100
AAA,20141231,13.5,14.1,13.5,13.9,809710
AAA,20141230,13.2,13.4,12.7,13.4,400700
AAA,20141229,13.5,13.7,13.0,13.1,381600
AAA,20141226,13.5,13.7,13.2,13.5,312600
AAA,20141225,13.7,13.9,13.5,13.6,468500
AAA,20141224,13.7,13.9,13.6,13.8,423026
AAA,20141223,14.3,14.3,13.7,13.7,951100
AAA,20141222,13.2,14.3,13.2,14.3,747010
AAA,20141219,14.1,14.4,12.9,13.2,1698250
AAA,20141218,15.7,16.1,14.1,14.1,3578400
AAA,20141217,16.2,16.3,14.7,15.6,2201800
AAA,20141216,16.6,16.6,16.1,16.1,881100
AAA,20141215,16.7,16.9,16.6,16.7,685510
AAA,20141212,16.6,16.8,16.5,16.7,445000
AAA,20141211,16.8,17.1,16.6,16.6,800500
AAA,20141210,16.5,17.2,16.2,17.0,1151400
AAA,20141209,17.3,17.6,16.3,16.3,1573700
AAA,20141208,17.4,17.9,17.4,17.6,1213726
AAA,20141205,17.4,17.8,17.0,17.4,1477110
AAA,20141204,17.8,18.1,17.4,17.5,1351231
AAA,20141203,17.9,18.1,17.7,17.8,1423603
AAA,20141202,17.7,18.2,17.5,17.9,1272200
AAA,20141201,17.7,18.4,17.4,17.7,1892600
AAA,20141128,16.8,18.0,16.8,17.7,3639056
AAA,20141127,16.2,16.7,16.0,16.7,745800
AAA,20141126,16.4,17.1,16.2,16.2,2236000
AAA,20141125,16.5,16.6,16.2,16.5,314920
AAA,20141124,16.5,16.7,16.2,16.5,786700
AAA,20141121,15.9,17.1,15.9,16.3,3252370
AAA,20141120,16.0,16.1,15.7,16.0,450500
AAA,20141119,16.0,16.0,15.6,15.9,304600
AAA,20141118,15.8,16.4,15.5,16.0,1810900
AAA,20141117,15.9,16.0,15.6,15.8,224400
AAA,20141114,15.9,16.0,15.7,15.8,177400
AAA,20141113,16.1,16.2,15.9,16.1,138300
AAA,20141112,16.0,16.1,15.9,16.1,180000
