MaCK	SanCK	GiaHienTai	GiaSoSach	P/B	CaoNhat52Tuan	ThapNhat52Tuan	EPS	PE	ROA	ROE	Beta	KhoiLuongLuuHanh	KhoiLuongNiemYet	CoPhieuQuy	NuocNgoaiSoHuu	VonThiTruong	DoanhThu-ttm(Trieu)	LNST-ttm	VonCSH	TongNo	TongTaiSan	TenCongTy	TenQuocTe	DiaChi	DienThoai	Fax	Website
AAA	HASTC	16.60	28.2	59%	25.90	12.80	2646.00	6.3	5%	10%	1.35	19800000	19800000	0	1039800	329	1237891	52384	558110	500925	1067787	Công ty cổ phần Nhựa và Môi trường xanh An Phát	An Phat Plastic and Green Environment Joint Stock Company	Lô CN11 + CN12, Cụm Công nghiệp An Đồng, Huyện Nam Sách, Tỉnh Hải Dương	+84-(0)320-375.59.98	+84-(0)320-375.51.13	www.anphatplastic.com
AAM	HOSE	13.60	24.9	55%	19.20	13.30	905.00	15.0	3%	4%	0.41	10435840	12635840	2200000	6191562	172	540183	9601	260174	33866	294040	Công ty cổ phần Thủy sản Mekong	Mekong Fisheries Joint Stock Company	Lô 24 Khu Công nghiệp Trà Nóc, phường Trà Nóc, quận Bình Thủy, TP.Cần Thơ	+84-(0)710-384.15.60	+84-(0)710-384.15.60	http://www.mekongfish.vn/vn/index.aspx
ABT	HOSE	49.00	36	136%	52.50	31.40	7239.00	6.8	13%	20%	0.32	11558307	14107207	2548900	6912531	691	497183	82812	416038	210774	626813	Công ty cổ phần Xuất nhập khẩu thủy sản Bến Tre	Bentre Aquaproduct Import And Export Joint Stock Company	Ấp 9, Xã Tân Thạch, Huyện Châu Thành, Tỉnh Bến Tre	+84-(0)75-386.02.65	+84-(0)75-386.03.46	www.aquatexbentre.com
ACB	HASTC	15.30	13.3	115%	16.70	14.50	881.00	17.4	0%	7%	0.31	937696500	933570390	0	281308902	14284	15205073	824458	12502168	154235538	166737706	Ngân hàng Thương Mại Cổ Phần Á Châu	Asia Commercial Bank	442 Nguyễn Thị Minh Khai, P5, Quận 3, Tp. HCM	+84-(0)8-929.09.99	+84-(0)8-839.98.85	www.acb.com.vn
ACC	HOSE	31.00	12.5	247%	33.10	23.70	1875.00	16.5	12%	15%	0.54	16400000	16400000	0	4900000	508	318518	30754	205571	55791	261362	Công ty cổ phần bê tông BECAMEX	Becamex Asphalt And Concrete Joint Stock Company	Đường N7 – KCN Mỹ Phước- Bến Cát – Bình Dương.	+84-(0)650-356.72.00	+84-(0)650-356.72.01	http://www.becamexacc.com.vn
ACL	HOSE	9.50	14.7	65%	11.90	8.30	812.00	11.7	2%	6%	0.58	18399675	18399675	0	9015841	175	997220	14944	270805	479309	750114	Công ty cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang	Cuulong Fish Joint Stock Company	90 Hùng Vương, Khóm Mỹ Thọ, P. Mỹ Quý, Tp. Long Xuyên, Tỉnh An Giang	+84-(0)76- 93.10.00	+84-(0)76- 93.24.46	www.clfish.com
ADC	HASTC	18.00	15.4	117%	23.00	10.00	4821.00	3.7	10%	24%	1.10	1500000	1500000	0	26600	27	123492	5468	23050	27108	50158	Công ty cổ phần Mĩ thuật và Truyền thông	Art Design & Communication Joint Stock Company	187B Giảng Võ, Phường Cát Linh, Quận Đống Đa, Tp. Hà Nội	+84-(0)4-35.12.15.69	+84-(0)4-35.12.13.85	www.adc.net.vn
AGF	HOSE	19.80	32.2	62%	27.40	16.60	1081.00	18.3	1%	3%	0.44	25474450	25554450	80000	12521681	506	3180944	17467	819933	1431633	2251566	Công ty cổ phần Xuất nhập khẩu thủy sản An Giang	An Giang Fisheries Import and Export Joint Stock Company	1234 Trần Hưng đạo, phường Bình Đức, thành phố Long xuyên, tỉnh An giang	+84-(0)76-85.29.39	+84-(0)76-85.22.02	www.agifish.com.vn
AGM	HOSE	13.40	20.1	67%	16.10	10.70	1722.00	7.8	3%	9%	0.49	18200000	18200000	0	8918000	244	1679840	31335	365573	895756	1261329	Công ty cổ phần xuất nhập khẩu An Giang	An Giang import export joint stock company	01 Ngô Gia Tự, Tp.Long Xuyên, tỉnh An Giang	+84-(0)076-84.15.48 – 84.12.86	+84-(0)076-84.32.39	www.angimex.com.vn
AGR	HOSE	6.10	0	N/A	9.30	4.20	94.00	64.9	0%	1%	0.97	211200000	212000000	800000	103880000	1293	334471	66410	2283780	1671747	3955527	Công ty cổ phần Chứng khoán Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam	AgriBank Securities Joint Stock Coporation	Tầng 5 tòa nhà Artex, số 172 Ngọc Khánh, Ba Đình, Hà Nội	+84-(0)4-62.76.26.66	+84-(0)4-62.76.56.66	www.agriseco.com.vn
