<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
^VNINDEX,20150410,551.0,557.6,550.5,554.0,104201065
^VNINDEX,20150409,547.3,552.5,546.8,550.5,94464349
^VNINDEX,20150408,549.7,551.2,546.3,547.7,80149309
^VNINDEX,20150407,542.7,548.4,541.1,548.1,96779408
^VNINDEX,20150406,548.1,549.3,543.0,543.0,71851972
^VNINDEX,20150403,548.7,550.3,544.2,547.9,70713550
^VNINDEX,20150402,540.5,546.9,536.9,546.9,89755500
^VNINDEX,20150401,550.8,551.7,537.3,538.9,129132966
^VNINDEX,20150331,544.9,552.7,544.9,551.1,83615827
^VNINDEX,20150330,551.8,554.3,545.1,545.2,108626597
^VNINDEX,20150327,558.9,561.1,549.6,551.4,91630502
^VNINDEX,20150326,556.1,560.9,553.2,556.2,83825010
^VNINDEX,20150325,567.6,568.4,559.9,560.9,87606340
^VNINDEX,20150324,569.3,570.9,562.1,567.4,91921673
^VNINDEX,20150323,576.6,579.4,570.4,570.9,99548172
^VNINDEX,20150320,572.6,577.6,571.9,575.4,151536960
^VNINDEX,20150319,579.4,580.3,573.5,573.7,84526970
^VNINDEX,20150318,580.8,581.8,577.3,578.7,108040880
^VNINDEX,20150317,582.5,583.6,580.7,581.8,105054970
^VNINDEX,20150316,583.3,586.2,580.5,580.8,100538780
^VNINDEX,20150313,589.0,591.8,586.1,586.1,97281740
^VNINDEX,20150312,585.9,589.7,585.5,588.5,82739692
^VNINDEX,20150311,589.0,590.6,586.5,586.5,86316492
^VNINDEX,20150310,586.4,591.2,586.4,589.7,105173875
^VNINDEX,20150309,594.1,596.3,587.3,588.4,98831480
^VNINDEX,20150306,596.4,598.3,592.7,594.0,101676233
^VNINDEX,20150305,601.1,602.4,596.8,596.9,134357502
^VNINDEX,20150304,598.5,600.7,595.3,600.4,120522460
^VNINDEX,20150303,590.4,597.5,590.4,596.7,112826690
^VNINDEX,20150302,591.8,593.7,588.6,590.7,86655948
^VNINDEX,20150227,598.0,598.4,590.6,592.6,78310062
^VNINDEX,20150226,594.0,597.1,591.8,596.7,89935440
^VNINDEX,20150225,596.9,601.5,592.7,592.7,99237866
^VNINDEX,20150224,590.8,597.0,589.7,597.0,62893419
^VNINDEX,20150213,586.3,589.0,584.7,587.2,73837820
^VNINDEX,20150212,582.5,585.0,581.8,584.7,82989180
^VNINDEX,20150211,574.9,581.8,574.5,581.8,77500496
^VNINDEX,20150210,575.7,578.4,573.5,574.5,73830792
^VNINDEX,20150209,574.1,577.0,572.8,573.5,71316820
^VNINDEX,20150206,569.0,574.4,567.2,574.1,64274918
^VNINDEX,20150205,562.2,568.2,561.5,567.2,78742544
^VNINDEX,20150204,556.9,561.7,553.2,561.5,100169716
^VNINDEX,20150203,572.6,574.8,557.5,557.5,96961011
^VNINDEX,20150202,576.1,579.7,570.4,570.4,85071802
^VNINDEX,20150130,584.1,584.1,574.5,576.1,102197700
^VNINDEX,20150129,584.2,585.7,580.4,583.3,109682059
^VNINDEX,20150128,579.6,584.4,578.6,583.8,107451330
^VNINDEX,20150127,580.5,584.3,575.5,579.3,138720400
^VNINDEX,20150126,584.9,586.8,580.6,580.6,92614650
^VNINDEX,20150123,578.2,583.6,577.6,582.4,116961120
^VNINDEX,20150122,569.7,576.5,567.8,574.5,77924420
^VNINDEX,20150121,573.5,574.4,569.1,569.1,75650990
^VNINDEX,20150120,570.8,575.0,570.1,572.2,72955320
^VNINDEX,20150119,576.5,579.1,570.1,571.5,85869950
^VNINDEX,20150116,576.9,578.5,574.1,574.8,103715770
^VNINDEX,20150115,577.0,581.2,575.4,577.7,111809300
^VNINDEX,20150114,579.8,582.2,571.7,577.0,105588770
^VNINDEX,20150113,573.3,580.6,573.3,580.6,93250940
